
"Ref"	"Value"	"PN"	"Description"	"Vendor"
"K2"	"G5Q-1"	"G5Q-1-DC12"	"Omron G5G relay, Miniature Single Pole, SPDT, 10A"	"M: 653-G5Q-1DC12"
"K3"	"G5Q-1"	"G5Q-1-DC12"	"Omron G5G relay, Miniature Single Pole, SPDT, 10A"	"M: 653-G5Q-1DC12"
"K4"	"G5Q-1"	"G5Q-1-DC12"	"Omron G5G relay, Miniature Single Pole, SPDT, 10A"	"M: 653-G5Q-1DC12"

"R1"	"1Meg"	"CMP0805-FX-1004ELF"	"Resistor, small US symbol"	"M: 652-CMP0805-FX-1004L"
"R15"	"1Meg"	"CMP0805-FX-1004ELF"	"Resistor, small US symbol"	"M: 652-CMP0805-FX-1004L"
"R22"	"1Meg"	"CMP0805-FX-1004ELF"	"Resistor, small US symbol"	"M: 652-CMP0805-FX-1004L"
"R35"	"1Meg"	"CMP0805-FX-1004ELF"	"Resistor, small US symbol"	"M: 652-CMP0805-FX-1004L"
"R38"	"1Meg"	"CMP0805-FX-1004ELF"	"Resistor, small US symbol"	"M: 652-CMP0805-FX-1004L"
"R39"	"1Meg"	"CMP0805-FX-1004ELF"	"Resistor, small US symbol"	"M: 652-CMP0805-FX-1004L"

"R2"	"68K"	""	"Resistor, small US symbol"	""

"R3"	"2K7"	""	"Resistor, small US symbol"	""

"R4"	"100K"	"CRCW2512100KJNEG "	"Resistor"	"M: 71-CRCW2512J-100K-E3 "
"R8"	"100K"	"CRCW2512100KJNEG "	"Resistor"	"M: 71-CRCW2512J-100K-E3 "
"R17"	"100K"	"CRCW2512100KJNEG "	"Resistor"	"M: 71-CRCW2512J-100K-E3 "
"R19"	"100K"	"CRCW2512100KJNEG "	"Resistor"	"M: 71-CRCW2512J-100K-E3 "
"R26"	"100K"	"CRCW2512100KJNEG "	"Resistor"	"M: 71-CRCW2512J-100K-E3 "

"R6"	"100K"	"RCV0805100KFKEA"	"Resistor, small US symbol"	"M: 71-RCV0805100KFKEA"
"R13"	"100K"	"RCV0805100KFKEA"	"Resistor, small US symbol"	"M: 71-RCV0805100KFKEA"
"R25"	"100K"	"CR0805-FX-1003ELF"	"Resistor, small US symbol"	"M: 652-CR0805FX-1003ELF"
"R28"	"100K"	"CR0805-FX-1003ELF"	"Resistor, small US symbol"	"M: 652-CR0805FX-1003ELF"
"R29"	"100K"	"CR0805-FX-1003ELF"	"Resistor, small US symbol"	"M: 652-CR0805FX-1003ELF"

"R7"	"1K5"	""	"Resistor, small US symbol"	""

"R9"	"47K"	"CRCW251247K0FKEG"	"Resistor"	"M: 71-CRCW251247K0FKEG"

"R14"	"47K"	"CRGCQ0805J47K"	"Resistor, small US symbol"	"M: 279-CRGCQ0805J47K"
"R18"	"47K"	"CRGCQ0805J47K"	"Resistor, small US symbol"	"M: 279-CRGCQ0805J47K"

"R10"	"220K"	"CRGP0805F220K"	"Resistor, small US symbol"	"M: 279-CRGP0805F220K"

"R11"	"220K"	"CRCW2512220KJNEG "	"Resistor"	"M: 71-CRCW2512J-220K-E3 "
"R24"	"220K"	"CRCW2512220KJNEG "	"Resistor"	"M: 71-CRCW2512J-220K-E3 "


"R12"	"10K"	"RC0805JR-1010KL"	"Resistor, small US symbol"	"M: 603-RC0805JR-1010KL"
"R20"	"10K"	"RC0805JR-1010KL"	"Resistor, small US symbol"	"M: 603-RC0805JR-1010KL"
"R27"	"10K"	"RC0805JR-1010KL"	"Resistor, small US symbol"	"M: 603-RC0805JR-1010KL"
"R30"	"10K"	"RC0805JR-1010KL"	"Resistor, small US symbol"	"M: 603-RC0805JR-1010KL"
"R31"	"10K"	"RC0805JR-1010KL"	"Resistor, small US symbol"	"M: 603-RC0805JR-1010KL"


"R16"	"1K5"	""	"Resistor, small US symbol"	""



"R23"	"470R"	""	"Resistor, small US symbol"	""

"R21"	"10R"	"CMP0805-FX-10R0ELF"	"Resistor, small US symbol"	"M:652-CMP0805-FX-10R0L"
"R36"	"10R"	"CMP0805-FX-10R0ELF"	"Resistor, small US symbol"	"M:652-CMP0805-FX-10R0L"


"R32"	"1K"	"CRCW25121K00FKEG"	"Resistor"	"M: 71-CRCW2512-1K-E3"
"R33"	"1K"	"CRCW25121K00FKEG"	"Resistor"	"M: 71-CRCW2512-1K-E3"
"R34"	"1K"	"CRCW25121K00FKEG"	"Resistor"	"M: 71-CRCW2512-1K-E3"


"U3"	"TL082"	"TL082IDT"	"Dual JFET-Input Operational Amplifiers, DIP-8/SOIC-8/SSOP-8"	""
"U4"	"TL082"	"TL082IDT"	"Dual JFET-Input Operational Amplifiers, DIP-8/SOIC-8/SSOP-8"	""
